# 1D z+ on bottom wall (n-projection), 2nd-order FD pipeline
# generated by 12.phase3_compute_zplus_spanavg_2nd.py
# source tau   : 25.Re10595_j257_bottomtauwall_spanavg_2nd.dat
# Re           = 10595
# z_plus(j) = Re * u_tau_local(j) * d_n(j)
TITLE     = "1D z+ on bottom wall (n-projection)"
VARIABLES = "j" "y" "z" "tau_local" "u_tau_local" "dy_step" "dz_step" "n_y" "n_z" "d_n_proj" "z_plus_proj"
ZONE T="bottom_zplus_1d_n-projection", I=257, F=POINT
DT=(SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE)
  91 2.767023115000000e+00 -4.894396563000000e-15 1.969907298812801e-04 1.403533860942728e-02 -1.390000003986813e-07 1.323467306000489e-02 -5.811242770009615e-14 1.000000000000000e+00 1.323467306000489e-02 1.968054282902767e+00
  92 2.808070415000000e+00 1.982540380000000e-15 1.903363922367194e-04 1.379624558482196e-02 -3.475000000197070e-06 1.323467305999802e-02 -8.883935091607573e-14 1.000000000000000e+00 1.323467305999802e-02 1.934528333569081e+00
  93 2.849386630000000e+00 -5.575894817000000e-16 1.873517874466064e-04 1.368765091045963e-02 3.318999999724070e-06 1.323467306000056e-02 5.478272294173322e-14 1.000000000000000e+00 1.323467306000056e-02 1.919301040525337e+00
  94 2.890990074000000e+00 6.195438687000000e-17 1.853356104794601e-04 1.361380220509539e-02 1.655300000003024e-05 1.323467305999994e-02 -2.107583027428020e-14 1.000000000000000e+00 1.323467305999994e-02 1.908945874545764e+00
  95 2.932965972000000e+00 1.239087737000000e-16 1.784508315079495e-04 1.335854900458690e-02 1.233000000322448e-06 1.323467305999988e-02 2.794420354422544e-15 1.000000000000000e+00 1.323467305999988e-02 1.873153923352802e+00
  96 2.975216761000000e+00 6.195438687000000e-17 1.782587995068045e-04 1.335135946287135e-02 -4.514000000011009e-06 1.323467305999994e-02 1.510292710957861e-15 1.000000000000000e+00 1.323467305999994e-02 1.872145796027983e+00
  97 3.017743628000000e+00 0.000000000000000e+00 1.832387649664073e-04 1.353657138888601e-02 -3.304999999897973e-06 1.323467306000000e-02 1.985123920572130e-15 1.000000000000000e+00 1.323467306000000e-02 1.898116464380292e+00
  98 3.060547647000000e+00 -6.195438687000000e-17 1.794949317705613e-04 1.339757186099635e-02 1.366100000010917e-05 1.323467306000006e-02 -1.224798876845634e-15 1.000000000000000e+00 1.323467306000006e-02 1.878625761391429e+00
  99 3.103739753000000e+00 6.195438687000000e-17 1.707534097803404e-04 1.306726481633935e-02 7.379999997780828e-07 1.323467305999994e-02 -1.262338017767574e-15 1.000000000000000e+00 1.323467305999994e-02 1.832309658018366e+00
 100 3.147229266000000e+00 0.000000000000000e+00 1.681625038579193e-04 1.296774860405303e-02 -4.882999999900051e-06 1.323467306000000e-02 2.342878013398002e-15 1.000000000000000e+00 1.323467306000000e-02 1.818355359282986e+00
 101 3.191001935000000e+00 -6.195438687000000e-17 1.682757470907983e-04 1.297211421052090e-02 -4.601000000103994e-06 1.323467306000006e-02 -2.586929718913293e-16 1.000000000000000e+00 1.323467306000006e-02 1.818967510563818e+00
 102 3.235059838000000e+00 0.000000000000000e+00 1.586833077671227e-04 1.259695628979964e-02 5.867999999686901e-06 1.323467306000000e-02 -8.170223489195946e-16 1.000000000000000e+00 1.323467306000000e-02 1.766362356303821e+00
